Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"										
0.001	0.155363										
0.002	0.159646										
0.005	0.179938										
0.008	0.200718										
0.01	0.213645										
0.015	0.248136										
0.02	0.288516										
0.025	0.327655										
0.03	0.365648										
0.035	0.402298										
0.04	0.437511										
0.045	0.471196										
0.05	0.503277										
0.055	0.533689										
0.06	0.562389										
0.07	0.614568										
0.08	0.65983										
0.09	0.698802										
0.1	0.732725										
0.12	0.784026										
0.14	0.817718										
0.16	0.837916										
0.18	0.846142										
0.2	0.849424										
0.25	0.846029										
0.3	0.84774										
0.35	0.848969										
0.4	0.841414										
0.45	0.831013										
0.5	0.823666										
0.6	0.807647										
0.7	0.789119										
0.8	0.767947										
0.9	0.746344										
1	0.7248										
1.25	0.667852										
1.5	0.610249										
1.75	0.561916										
2	0.517165										
2.25	0.479472										
2.5	0.447852										
3	0.397147										
3.5	0.357594										
4	0.325772										
4.5	0.29952										
5	0.277407										
5.5	0.258485										
6	0.24209										
6.5	0.227736										
7	0.215056										
7.5	0.203771										
8	0.19366										
8.5	0.184546										
9	0.176288										
9.5	0.168769										
10	0.163376										
11	0.151957										
12	0.142103										
13	0.133516										
14	0.125965										
15	0.119275										
16	0.113307										
17	0.107949										
18	0.103112										
19	0.0987226										
20	0.094722										
21	0.09106										
22	0.0876952										
23	0.0845924										
24	0.081722										
25	0.0790586										
27	0.0742684										
29	0.0700801										
31	0.0663859										
33	0.0631024										
35	0.0601639										
38	0.0562918										
41	0.0529445										
44	0.0500211										
47	0.0474449										
50	0.0451569										
55	0.0418623										
60	0.0390827										
65	0.0367048										
70	0.0346465										
75	0.0328468										
80	0.0312594										
85	0.0298484										
90	0.0285856										
95	0.0274486										
100	0.0264194										
105	0.0254832										
110	0.0246278										
115	0.0238431										
120	0.0231205										
125	0.022453										
130	0.0218345										
135	0.0212596										
140	0.020724										
145	0.0202236										
150	0.0197551										
155	0.0193156										
160	0.0189024										
165	0.0185132										
170	0.0181459										
175	0.0177988										
180	0.0174703										
185	0.0171588										
190	0.0168632										
195	0.0165821										
200	0.0163146										
210	0.0158165										
220	0.0153622										
230	0.0149463										
240	0.014564										
250	0.0142115										
260	0.0138855										
270	0.013583										
280	0.0133017										
290	0.0130395										
300	0.0127944										
310	0.0125649										
320	0.0123496										
330	0.0121472										
340	0.0119566										
350	0.0117769										
360	0.0116071										
370	0.0114464										
380	0.0112943										
390	0.01115										
400	0.011013										
410	0.0108827										
420	0.0107587										
430	0.0106405										
440	0.0105279										
450	0.0104203										
460	0.0103176										
470	0.0102193										
480	0.0101253										
490	0.0100353										
500	0.00994895										
520	0.00978672										
540	0.00963708										
560	0.00949872										
580	0.00937052										
600	0.00925148										
620	0.00914074										
640	0.00903755										
660	0.00894122										
680	0.00885118										
700	0.0087669										
720	0.0086879										
740	0.00861378										
760	0.00854416										
780	0.0084787										
800	0.00841709										
820	0.00835906										
840	0.00830436										
860	0.00825277										
880	0.00820407										
900	0.00815808										
920	0.00811463										
940	0.00807355										
960	0.00803471										
980	0.00799796										
1000	0.00796319										
1020	0.00793028										
1040	0.00789912										
1060	0.00786963										
1080	0.0078417										
1100	0.00781526										
1120	0.00779023										
1140	0.00776652										
1160	0.00774409										
1180	0.00772286										
1200	0.00770278										
1220	0.00768378										
1240	0.00766582										
1260	0.00764885										
1280	0.00763282										
1300	0.00761769										
1320	0.00760343										
1340	0.00758998										
1360	0.00757733										
1380	0.00756542										
1400	0.00755424										
1420	0.00754375										
1440	0.00753392										
1460	0.00752473										
1480	0.00751615										
1500	0.00750815										
1520	0.00750072										
1540	0.00749383										
1560	0.00748746										
1580	0.00748159										
1600	0.00747621										
1620	0.00747129										
1640	0.00746682										
1660	0.00746279										
1680	0.00745917										
1700	0.00745595										
1750	0.00744958										
1800	0.00744545										
1850	0.00744336										
1900	0.00744317										
1950	0.00744472										
2000	0.00744789										
2100	0.00745862										
2200	0.00747453										
2300	0.00749496										
2400	0.00751933										
2500	0.00754716										
2600	0.00757807										
2700	0.00761169										
2800	0.00764774										
2900	0.00768597										
3000	0.00772614										
3200	0.00781159										
3400	0.00790281										
3600	0.00799882										
3800	0.00809883										
4000	0.0082022										
4200	0.00830844										
4400	0.00841713										
4600	0.00852792										
4800	0.00864053										
5000	0.00875472										
5250	0.00889937										
5500	0.00904585										
6000	0.00934326										
6500	0.00964528										
7000	0.00995074										
7500	0.0102588										
8000	0.0105688										
8500	0.0108802										
9000	0.0111928										
9500	0.0115062										
10000	0.0118203										
11000	0.0124496										
12000	0.0130798										
13000	0.0137101										
14000	0.0143402										
15000	0.0149698										
16000	0.0155987										
17000	0.0162267										
18000	0.0168538										
19000	0.01748										
20000	0.0181051										
21000	0.0187292										
22000	0.0193522										
23000	0.0199742										
24000	0.0205953										
25000	0.0212153										
26000	0.0218343										
27000	0.0224523										
28000	0.0230694										
29000	0.0236855										
30000	0.0243007										
32000	0.0255284										
34000	0.0267527										
36000	0.0279737										
38000	0.0291916										
40000	0.0304064										
42000	0.0316184										
44000	0.0328276										
46000	0.0340341										
48000	0.0352381										
50000	0.0364397										
