Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"										
0.001	0.0167737										
0.002	0.020106										
0.005	0.0270406										
0.008	0.0320611										
0.01	0.034864										
0.015	0.0419394										
0.02	0.0478606										
0.025	0.0529481										
0.03	0.0573784										
0.035	0.0612531										
0.04	0.0646427										
0.045	0.0675985										
0.05	0.0701611										
0.055	0.0723645										
0.06	0.0742384										
0.07	0.077104										
0.08	0.0789551										
0.09	0.0799696										
0.1	0.080308										
0.12	0.0795062										
0.14	0.0774575										
0.16	0.0747799										
0.18	0.0718598										
0.2	0.0689216										
0.25	0.0621402										
0.3	0.0564771										
0.35	0.0518365										
0.4	0.0480042										
0.45	0.0447914										
0.5	0.0420551										
0.6	0.0376215										
0.7	0.0341567										
0.8	0.0313533										
0.9	0.0290259										
1	0.0270554										
1.25	0.0232164										
1.5	0.020404										
1.75	0.0182435										
2	0.0165263										
2.25	0.0151255										
2.5	0.0139591										
3	0.0121235										
3.5	0.0107407										
4	0.0096588										
4.5	0.00878743										
5	0.00806951										
5.5	0.00746702										
6	0.00695368										
6.5	0.00651068										
7	0.00612421										
7.5	0.00578389										
8	0.00548175										
8.5	0.00521157										
9	0.00496845										
9.5	0.00474842										
10	0.00458993										
11	0.00425899										
12	0.00397563										
13	0.00373019										
14	0.00351544										
15	0.00332591										
16	0.00315734										
17	0.00300641										
18	0.00287044										
19	0.00274728										
20	0.00263519										
21	0.00253271										
22	0.00243864										
23	0.00235197										
24	0.00227186										
25	0.00219757										
27	0.00206405										
29	0.00194741										
31	0.00184459										
33	0.00175323										
35	0.00167151										
38	0.00156385										
41	0.00147081										
44	0.00138957										
47	0.00131798										
50	0.00125441										
55	0.00116288										
60	0.00108566										
65	0.0010196										
70	0.000962423										
75	0.00091243										
80	0.000868332										
85	0.000829136										
90	0.000794057										
95	0.000762475										
100	0.000733885										
105	0.000707878										
110	0.000684116										
115	0.000662317										
120	0.000642247										
125	0.000623705										
130	0.000606523										
135	0.000590554										
140	0.000575675										
145	0.000561775										
150	0.000548762										
155	0.000536553										
160	0.000525074										
165	0.000514262										
170	0.000504061										
175	0.000494419										
180	0.000485293										
185	0.000476641										
190	0.000468427										
195	0.00046062										
200	0.000453189										
210	0.000439353										
220	0.000426734										
230	0.00041518										
240	0.000404561										
250	0.000394769										
260	0.000385712										
270	0.000377311										
280	0.000369497										
290	0.000362211										
300	0.000355404										
310	0.000349029										
320	0.000343048										
330	0.000337426										
340	0.000332132										
350	0.000327138										
360	0.000322422										
370	0.00031796										
380	0.000313734										
390	0.000309725										
400	0.000305919										
410	0.0003023										
420	0.000298855										
430	0.000295574										
440	0.000292444										
450	0.000289457										
460	0.000286603										
470	0.000283873										
480	0.000281261										
490	0.00027876										
500	0.000276362										
520	0.000271856										
540	0.000267699										
560	0.000263856										
580	0.000260294										
600	0.000256988										
620	0.000253911										
640	0.000251045										
660	0.000248369										
680	0.000245868										
700	0.000243527										
720	0.000241332										
740	0.000239273										
760	0.000237339										
780	0.000235521										
800	0.00023381										
820	0.000232198										
840	0.000230678										
860	0.000229245										
880	0.000227892										
900	0.000226615										
920	0.000225408										
940	0.000224267										
960	0.000223188										
980	0.000222167										
1000	0.000221201										
1020	0.000220287										
1040	0.000219421										
1060	0.000218602										
1080	0.000217826										
1100	0.000217092										
1120	0.000216396										
1140	0.000215738										
1160	0.000215115										
1180	0.000214525										
1200	0.000213967										
1220	0.000213439										
1240	0.00021294										
1260	0.000212469										
1280	0.000212024										
1300	0.000211604										
1320	0.000211207										
1340	0.000210834										
1360	0.000210482										
1380	0.000210152										
1400	0.000209841										
1420	0.000209549										
1440	0.000209276										
1460	0.000209021										
1480	0.000208783										
1500	0.000208561										
1520	0.000208354										
1540	0.000208163										
1560	0.000207986										
1580	0.000207823										
1600	0.000207673										
1620	0.000207537										
1640	0.000207412										
1660	0.0002073										
1680	0.0002072										
1700	0.00020711										
1750	0.000206934										
1800	0.000206819										
1850	0.000206761										
1900	0.000206755										
1950	0.000206799										
2000	0.000206887										
2100	0.000207184										
2200	0.000207626										
2300	0.000208194										
2400	0.000208871										
2500	0.000209644										
2600	0.000210502										
2700	0.000211436										
2800	0.000212438										
2900	0.000213499										
3000	0.000214615										
3200	0.000216989										
3400	0.000219523										
3600	0.00022219										
3800	0.000224968										
4000	0.000227839										
4200	0.00023079										
4400	0.000233809										
4600	0.000236887										
4800	0.000240015										
5000	0.000243187										
5250	0.000247205										
5500	0.000251274										
6000	0.000259535										
6500	0.000267925										
7000	0.00027641										
7500	0.000284966										
8000	0.000293577										
8500	0.000302229										
9000	0.000310912										
9500	0.000319618										
10000	0.000328342										
11000	0.000345823										
12000	0.000363327										
13000	0.000380837										
14000	0.00039834										
15000	0.000415828										
16000	0.000433297										
17000	0.000450742										
18000	0.000468162										
19000	0.000485554										
20000	0.000502919										
21000	0.000520255										
22000	0.000537562										
23000	0.00055484										
24000	0.000572091										
25000	0.000589313										
26000	0.000606507										
27000	0.000623675										
28000	0.000640816										
29000	0.00065793										
30000	0.00067502										
32000	0.000709123										
34000	0.000743132										
36000	0.000777049										
38000	0.000810878										
40000	0.000844624										
42000	0.000878289										
44000	0.000911878										
46000	0.000945393										
48000	0.000978838										
50000	0.00101221										
