Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.0671251
0.002	0.0784123
0.005	0.105733
0.008	0.128634
0.01	0.142342
0.015	0.175565
0.02	0.215909
0.025	0.254388
0.03	0.290332
0.035	0.322913
0.04	0.352603
0.045	0.379309
0.05	0.403039
0.055	0.42388
0.06	0.441981
0.07	0.470758
0.08	0.49114
0.09	0.504924
0.1	0.513714
0.12	0.52767
0.14	0.532819
0.16	0.534342
0.18	0.532332
0.2	0.53098
0.25	0.524336
0.3	0.524466
0.35	0.518316
0.4	0.509147
0.45	0.497062
0.5	0.485506
0.6	0.461042
0.7	0.435277
0.8	0.416696
0.9	0.396989
1	0.377365
1.25	0.333318
1.5	0.290197
1.75	0.259432
2	0.236068
2.25	0.217503
2.5	0.202246
3	0.178322
3.5	0.160143
4	0.145714
4.5	0.133928
5	0.124098
5.5	0.115764
6	0.108601
6.5	0.102375
7	0.0969069
7.5	0.0920639
8	0.0877414
8.5	0.0838571
9	0.0803453
9.5	0.0771531
10	0.0745715
11	0.0693683
12	0.0648902
13	0.060995
14	0.057575
15	0.0545473
16	0.0518476
17	0.0494245
18	0.0472373
19	0.0452525
20	0.0434431
21	0.0417863
22	0.0402635
23	0.0388588
24	0.0375588
25	0.036352
27	0.0341802
29	0.0322797
31	0.0306019
33	0.0291095
35	0.0277728
38	0.0260098
41	0.0244843
44	0.0231507
47	0.0219745
50	0.0209291
55	0.0194225
60	0.0181502
65	0.0170608
70	0.0161172
75	0.0152917
80	0.0145631
85	0.0139151
90	0.013335
95	0.0128125
100	0.0123394
105	0.0119088
110	0.0115153
115	0.0111543
120	0.0108217
125	0.0105145
130	0.0102297
135	0.00996496
140	0.00971824
145	0.00948775
150	0.00927191
155	0.00906937
160	0.00887894
165	0.00869955
170	0.00853026
175	0.00837025
180	0.00821876
185	0.00807514
190	0.00793879
195	0.00780916
200	0.00768578
210	0.00745602
220	0.00724645
230	0.00705453
240	0.00687813
250	0.00671544
260	0.00656495
270	0.00642533
280	0.00629547
290	0.00617439
300	0.00606124
310	0.00595528
320	0.00585585
330	0.00576238
340	0.00567436
350	0.00559135
360	0.00551292
370	0.00543873
380	0.00536846
390	0.0053018
400	0.00523849
410	0.00517831
420	0.00512103
430	0.00506645
440	0.0050144
450	0.00496471
460	0.00491724
470	0.00487184
480	0.0048284
490	0.00478679
500	0.0047469
520	0.00467194
540	0.00460279
560	0.00453886
580	0.00447961
600	0.0044246
620	0.00437342
640	0.00432573
660	0.00428122
680	0.00423961
700	0.00420065
720	0.00416415
740	0.00412989
760	0.00409772
780	0.00406747
800	0.00403899
820	0.00401218
840	0.0039869
860	0.00396306
880	0.00394056
900	0.00391931
920	0.00389923
940	0.00388025
960	0.0038623
980	0.00384532
1000	0.00382926
1020	0.00381405
1040	0.00379966
1060	0.00378604
1080	0.00377314
1100	0.00376092
1120	0.00374936
1140	0.00373841
1160	0.00372805
1180	0.00371825
1200	0.00370898
1220	0.00370021
1240	0.00369192
1260	0.00368408
1280	0.00367669
1300	0.0036697
1320	0.00366312
1340	0.00365692
1360	0.00365108
1380	0.00364559
1400	0.00364043
1420	0.0036356
1440	0.00363107
1460	0.00362683
1480	0.00362288
1500	0.00361919
1520	0.00361577
1540	0.0036126
1560	0.00360967
1580	0.00360697
1600	0.0036045
1620	0.00360224
1640	0.00360019
1660	0.00359834
1680	0.00359668
1700	0.0035952
1750	0.0035923
1800	0.00359042
1850	0.0035895
1900	0.00358945
1950	0.00359021
2000	0.00359171
2100	0.00359675
2200	0.00360419
2300	0.00361372
2400	0.00362507
2500	0.00363802
2600	0.0036524
2700	0.00366803
2800	0.00368479
2900	0.00370255
3000	0.00372121
3200	0.00376089
3400	0.00380325
3600	0.00384782
3800	0.00389424
4000	0.00394222
4200	0.00399152
4400	0.00404196
4600	0.00409337
4800	0.00414562
5000	0.0041986
5250	0.00426571
5500	0.00433367
6000	0.00447165
6500	0.00461175
7000	0.00475345
7500	0.00489634
8000	0.00504012
8500	0.0051846
9000	0.00532959
9500	0.00547497
10000	0.00562064
11000	0.00591253
12000	0.00620481
13000	0.00649717
14000	0.00678942
15000	0.00708143
16000	0.0073731
17000	0.00766438
18000	0.00795523
19000	0.00824563
20000	0.00853556
21000	0.00882501
22000	0.00911398
23000	0.00940247
24000	0.00969049
25000	0.00997804
26000	0.0102651
27000	0.0105518
28000	0.010838
29000	0.0111237
30000	0.011409
32000	0.0119785
34000	0.0125463
36000	0.0131126
38000	0.0136774
40000	0.0142408
42000	0.0148029
44000	0.0153637
46000	0.0159233
48000	0.0164817
50000	0.017039
