Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)								
0.001	0.0424826								
0.002	0.0557829								
0.005	0.0907796								
0.008	0.119096								
0.01	0.13538								
0.015	0.170246								
0.02	0.199762								
0.025	0.226076								
0.03	0.2466								
0.035	0.264333								
0.04	0.279714								
0.045	0.293064								
0.05	0.30463								
0.055	0.314615								
0.06	0.323188								
0.07	0.336682								
0.08	0.346122								
0.09	0.352333								
0.1	0.355994								
0.12	0.357799								
0.14	0.35485								
0.16	0.349248								
0.18	0.342275								
0.2	0.334687								
0.25	0.315418								
0.3	0.297409								
0.35	0.281134								
0.4	0.2665								
0.45	0.253322								
0.5	0.241418								
0.6	0.220826								
0.7	0.20371								
0.8	0.189304								
0.9	0.177029								
1	0.166446								
1.25	0.145388								
1.5	0.129604								
1.75	0.117255								
2	0.107283								
2.25	0.0990354								
2.5	0.0920863								
3	0.080996								
3.5	0.0725161								
4	0.065807								
4.5	0.0603571								
5	0.0558353								
5.5	0.0520179								
6	0.048748								
6.5	0.0459123								
7	0.0434272								
7.5	0.0412292								
8	0.0392695								
8.5	0.0375101								
9	0.0359205								
9.5	0.0344764								
10	0.033158								
11	0.0307817								
12	0.0287489								
13	0.0269878								
14	0.0254453								
15	0.0240807								
16	0.0228641								
17	0.0217719								
18	0.0207854								
19	0.019889								
20	0.01907								
21	0.0183188								
22	0.0176277								
23	0.0169898								
24	0.0163984								
25	0.0158486								
27	0.0148575								
29	0.0139868								
31	0.0132442								
33	0.0126107								
35	0.0120412								
38	0.0112904								
41	0.010639								
44	0.0100678								
47	0.00956485								
50	0.00911645								
55	0.00846957								
60	0.00792091								
65	0.00745093								
70	0.00704301								
75	0.0066848								
80	0.00636929								
85	0.00608737								
90	0.00583467								
95	0.00560753								
100	0.00540087								
105	0.00521264								
110	0.00504036								
115	0.00488268								
120	0.00473727								
125	0.00460235								
130	0.00447734								
135	0.00436152								
140	0.00425329								
145	0.00415187								
150	0.00405692								
155	0.00396773								
160	0.00388399								
165	0.00380535								
170	0.00373092								
175	0.00366037								
180	0.0035936								
185	0.00353029								
190	0.00347014								
195	0.00341313								
200	0.00335899								
210	0.00325777								
220	0.00316535								
230	0.00308068								
240	0.00300321								
250	0.00293166								
260	0.00286531								
270	0.0028038								
280	0.00274663								
290	0.0026936								
300	0.00264395								
310	0.00259732								
320	0.00255364								
330	0.00251256								
340	0.00247397								
350	0.00243776								
360	0.0024035								
370	0.00237098								
380	0.00234021								
390	0.00231105								
400	0.00228335								
410	0.00225709								
420	0.00223221								
430	0.00220854								
440	0.00218589								
450	0.00216423								
460	0.00214356								
470	0.00212382								
480	0.00210493								
490	0.00208684								
500	0.00206955								
520	0.00203724								
540	0.00200738								
560	0.00197971								
580	0.00195412								
600	0.00193037								
620	0.00190832								
640	0.00188791								
660	0.00186886								
680	0.00185097								
700	0.0018342								
720	0.00181852								
740	0.0018038								
760	0.00178995								
780	0.00177696								
800	0.00176478								
820	0.00175339								
840	0.00174289								
860	0.00173293								
880	0.0017235								
900	0.00171458								
920	0.00170615								
940	0.00169818								
960	0.00169062								
980	0.00168346								
1000	0.00167666								
1020	0.00167021								
1040	0.00166407								
1060	0.00165824								
1080	0.00165271								
1100	0.00164746								
1120	0.00164249								
1140	0.00163777								
1160	0.00163328								
1180	0.00162901								
1200	0.00162494								
1220	0.00162105								
1240	0.00161733								
1260	0.00161378								
1280	0.00161039								
1300	0.00160716								
1320	0.00160409								
1340	0.00160115								
1360	0.00159836								
1380	0.0015957								
1400	0.00159316								
1420	0.00159074								
1440	0.00158844								
1460	0.00158623								
1480	0.00158413								
1500	0.00158213								
1520	0.00158022								
1540	0.0015784								
1560	0.00157668								
1580	0.00157504								
1600	0.00157348								
1620	0.001572								
1640	0.0015706								
1660	0.00156927								
1680	0.00156801								
1700	0.00156681								
1750	0.00156407								
1800	0.00156166								
1850	0.00155955								
1900	0.00155771								
1950	0.00155613								
2000	0.00155478								
2100	0.00155271								
2200	0.00155136								
2300	0.00155062								
2400	0.00155038								
2500	0.00155056								
2600	0.00155111								
2700	0.00155196								
2800	0.00155307								
2900	0.00155441								
3000	0.00155594								
3200	0.00155945								
3400	0.00156342								
3600	0.00156772								
3800	0.00157225								
4000	0.00157692								
4200	0.00158169								
4400	0.00158652								
4600	0.00159137								
4800	0.00159622								
5000	0.00160104								
5250	0.00160703								
5500	0.00161293								
6000	0.00162445								
6500	0.00163555								
7000	0.00164618								
7500	0.00165636								
8000	0.0016661								
8500	0.00167539								
9000	0.00168426								
9500	0.00169276								
10000	0.00170092								
11000	0.00171626								
12000	0.00173042								
13000	0.00174352								
14000	0.00175567								
15000	0.00176701								
16000	0.00177765								
17000	0.00178767								
18000	0.00179713								
19000	0.0018061								
20000	0.00181462								
21000	0.00182271								
22000	0.00183036								
23000	0.00183761								
24000	0.00184456								
25000	0.0018513								
26000	0.00185774								
27000	0.00186386								
28000	0.00186973								
29000	0.00187538								
30000	0.00188085								
32000	0.00189124								
34000	0.00190094								
36000	0.00191003								
38000	0.0019186								
40000	0.00192669								
42000	0.00193434								
44000	0.00194159								
46000	0.00194847								
48000	0.00195502								
50000	0.00196126								
