Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.133578
0.002	0.146698
0.005	0.174414
0.008	0.196103
0.01	0.208635
0.015	0.242217
0.02	0.296775
0.025	0.3502
0.03	0.401497
0.035	0.449456
0.04	0.493638
0.045	0.533799
0.05	0.569094
0.055	0.599932
0.06	0.626965
0.07	0.670642
0.08	0.702472
0.09	0.724904
0.1	0.740153
0.12	0.756064
0.14	0.760482
0.16	0.762157
0.18	0.765159
0.2	0.764845
0.25	0.761972
0.3	0.759467
0.35	0.754226
0.4	0.751875
0.45	0.745801
0.5	0.735804
0.6	0.708778
0.7	0.678585
0.8	0.645991
0.9	0.615822
1	0.588084
1.25	0.525694
1.5	0.476147
1.75	0.436067
2	0.400536
2.25	0.370727
2.5	0.346129
3	0.307296
3.5	0.277508
4	0.25365
4.5	0.233996
5	0.217474
5.5	0.203365
6	0.191163
6.5	0.180495
7	0.171083
7.5	0.162711
8	0.155212
8.5	0.148452
9	0.142324
9.5	0.13674
10	0.132223
11	0.12308
12	0.115191
13	0.108315
14	0.102269
15	0.0969097
16	0.0921267
17	0.087831
18	0.0839512
19	0.0804292
20	0.077217
21	0.0742752
22	0.0715707
23	0.0690754
24	0.0667658
25	0.0646216
27	0.0607622
29	0.0573844
31	0.0544024
33	0.0517494
35	0.0493734
38	0.0462394
41	0.0435274
44	0.0411566
47	0.0390657
50	0.0372072
55	0.0345289
60	0.0322669
65	0.0303303
70	0.0286529
75	0.0271852
80	0.0258899
85	0.024738
90	0.0237067
95	0.0227778
100	0.0219367
105	0.0211713
110	0.0204717
115	0.0198298
120	0.0192387
125	0.0186924
130	0.0181861
135	0.0177155
140	0.0172769
145	0.0168671
150	0.0164834
155	0.0161233
160	0.0157848
165	0.0154659
170	0.0151649
175	0.0148804
180	0.0146111
185	0.0143558
190	0.0141134
195	0.013883
200	0.0136636
210	0.0132551
220	0.0128826
230	0.0125414
240	0.0122278
250	0.0119386
260	0.011671
270	0.0114228
280	0.011192
290	0.0109767
300	0.0107755
310	0.0105872
320	0.0104104
330	0.0102442
340	0.0100878
350	0.00994017
360	0.00980075
370	0.00966886
380	0.00954392
390	0.00942542
400	0.00931288
410	0.00920588
420	0.00910405
430	0.00900702
440	0.00891449
450	0.00882615
460	0.00874176
470	0.00866105
480	0.00858382
490	0.00850984
500	0.00843894
520	0.00830567
540	0.00818274
560	0.00806908
580	0.00796375
600	0.00786596
620	0.00777498
640	0.00769019
660	0.00761105
680	0.00753708
700	0.00746783
720	0.00740293
740	0.00734203
760	0.00728483
780	0.00723105
800	0.00718044
820	0.00713276
840	0.00708783
860	0.00704544
880	0.00700543
900	0.00696765
920	0.00693196
940	0.00689822
960	0.00686631
980	0.00683613
1000	0.00680757
1020	0.00678054
1040	0.00675495
1060	0.00673073
1080	0.0067078
1100	0.00668608
1120	0.00666553
1140	0.00664607
1160	0.00662765
1180	0.00661022
1200	0.00659374
1220	0.00657815
1240	0.00656341
1260	0.00654948
1280	0.00653633
1300	0.00652392
1320	0.00651222
1340	0.00650119
1360	0.00649081
1380	0.00648105
1400	0.00647188
1420	0.00646328
1440	0.00645523
1460	0.0064477
1480	0.00644067
1500	0.00643412
1520	0.00642804
1540	0.0064224
1560	0.00641719
1580	0.00641239
1600	0.00640799
1620	0.00640398
1640	0.00640033
1660	0.00639704
1680	0.00639409
1700	0.00639148
1750	0.00638631
1800	0.00638298
1850	0.00638133
1900	0.00638124
1950	0.00638259
2000	0.00638527
2100	0.00639423
2200	0.00640745
2300	0.00642439
2400	0.00644457
2500	0.0064676
2600	0.00649315
2700	0.00652094
2800	0.00655073
2900	0.0065823
3000	0.00661548
3200	0.00668603
3400	0.00676134
3600	0.00684057
3800	0.0069231
4000	0.00700839
4200	0.00709604
4400	0.00718571
4600	0.0072771
4800	0.00736999
5000	0.00746418
5250	0.00758349
5500	0.00770431
6000	0.0079496
6500	0.00819867
7000	0.00845057
7500	0.0087046
8000	0.00896022
8500	0.00921706
9000	0.00947483
9500	0.00973328
10000	0.00999224
11000	0.0105112
12000	0.0110308
13000	0.0115505
14000	0.0120701
15000	0.0125892
16000	0.0131077
17000	0.0136256
18000	0.0141426
19000	0.0146589
20000	0.0151743
21000	0.0156889
22000	0.0162026
23000	0.0167155
24000	0.0172275
25000	0.0177387
26000	0.0182491
27000	0.0187587
28000	0.0192675
29000	0.0197755
30000	0.0202827
32000	0.021295
34000	0.0223045
36000	0.0233112
38000	0.0243154
40000	0.025317
42000	0.0263163
44000	0.0273133
46000	0.0283081
48000	0.0293008
50000	0.0302915
