Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.229204
0.002	0.250213
0.005	0.292077
0.008	0.325066
0.01	0.344329
0.015	0.39678
0.02	0.483333
0.025	0.566838
0.03	0.646063
0.035	0.719943
0.04	0.788197
0.045	0.850327
0.05	0.906247
0.055	0.956065
0.06	1.00004
0.07	1.07198
0.08	1.1256
0.09	1.16519
0.1	1.1954
0.12	1.23183
0.14	1.2489
0.16	1.25466
0.18	1.25055
0.2	1.24532
0.25	1.23159
0.3	1.23617
0.35	1.24341
0.4	1.23837
0.45	1.22875
0.5	1.22303
0.6	1.20787
0.7	1.18728
0.8	1.1616
0.9	1.13447
1	1.10682
1.25	1.03088
1.5	0.951424
1.75	0.884216
2	0.820864
2.25	0.767187
2.5	0.721986
3	0.649008
3.5	0.591455
4	0.544675
4.5	0.505703
5	0.472566
5.5	0.443959
6	0.418963
6.5	0.396908
7	0.377283
7.5	0.359696
8	0.343837
8.5	0.329454
9	0.316347
9.5	0.304348
10	0.294639
11	0.274797
12	0.257567
13	0.242475
14	0.229149
15	0.217301
16	0.206697
17	0.197153
18	0.188517
19	0.180665
20	0.173494
21	0.16692
22	0.160871
23	0.155286
24	0.150112
25	0.145306
27	0.136651
29	0.129069
31	0.122372
33	0.116412
35	0.111072
38	0.104027
41	0.0979291
44	0.0925972
47	0.0878941
50	0.0837135
55	0.0776882
60	0.0725994
65	0.0682424
70	0.0644682
75	0.0611661
80	0.0582518
85	0.0556601
90	0.0533397
95	0.0512497
100	0.0493571
105	0.0476349
110	0.046061
115	0.0446168
120	0.0432867
125	0.0420576
130	0.0409185
135	0.0398596
140	0.0388727
145	0.0379507
150	0.0370874
155	0.0362772
160	0.0355155
165	0.034798
170	0.0341208
175	0.0334808
180	0.0328748
185	0.0323004
190	0.031755
195	0.0312365
200	0.0307429
210	0.0298239
220	0.0289856
230	0.028218
240	0.0275123
250	0.0268616
260	0.0262596
270	0.0257012
280	0.0251818
290	0.0246974
300	0.0242448
310	0.023821
320	0.0234233
330	0.0230494
340	0.0226973
350	0.0223653
360	0.0220516
370	0.0217548
380	0.0214737
390	0.0212071
400	0.0209539
410	0.0207131
420	0.020484
430	0.0202657
440	0.0200575
450	0.0198588
460	0.0196689
470	0.0194873
480	0.0193135
490	0.0191471
500	0.0189875
520	0.0186877
540	0.0184111
560	0.0181554
580	0.0179184
600	0.0176983
620	0.0174936
640	0.0173029
660	0.0171248
680	0.0169584
700	0.0168026
720	0.0166565
740	0.0165195
760	0.0163908
780	0.0162698
800	0.0161559
820	0.0160487
840	0.0159476
860	0.0158522
880	0.0157622
900	0.0156772
920	0.0155969
940	0.0155209
960	0.0154492
980	0.0153812
1000	0.015317
1020	0.0152562
1040	0.0151986
1060	0.0151441
1080	0.0150925
1100	0.0150437
1120	0.0149974
1140	0.0149536
1160	0.0149122
1180	0.014873
1200	0.0148359
1220	0.0148008
1240	0.0147676
1260	0.0147363
1280	0.0147067
1300	0.0146788
1320	0.0146525
1340	0.0146276
1360	0.0146043
1380	0.0145823
1400	0.0145617
1420	0.0145424
1440	0.0145242
1460	0.0145073
1480	0.0144915
1500	0.0144767
1520	0.0144631
1540	0.0144504
1560	0.0144387
1580	0.0144279
1600	0.014418
1620	0.0144089
1640	0.0144007
1660	0.0143933
1680	0.0143867
1700	0.0143808
1750	0.0143692
1800	0.0143617
1850	0.014358
1900	0.0143578
1950	0.0143608
2000	0.0143668
2100	0.014387
2200	0.0144167
2300	0.0144549
2400	0.0145003
2500	0.0145521
2600	0.0146096
2700	0.0146721
2800	0.0147391
2900	0.0148102
3000	0.0148848
3200	0.0150436
3400	0.015213
3600	0.0153913
3800	0.015577
4000	0.0157689
4200	0.0159661
4400	0.0161678
4600	0.0163735
4800	0.0165825
5000	0.0167944
5250	0.0170629
5500	0.0173347
6000	0.0178866
6500	0.018447
7000	0.0190138
7500	0.0195853
8000	0.0201605
8500	0.0207384
9000	0.0213184
9500	0.0218999
10000	0.0224825
11000	0.0236501
12000	0.0248192
13000	0.0259887
14000	0.0271577
15000	0.0283257
16000	0.0294924
17000	0.0306575
18000	0.0318209
19000	0.0329825
20000	0.0341422
21000	0.0353
22000	0.0364559
23000	0.0376099
24000	0.038762
25000	0.0399122
26000	0.0410605
27000	0.0422071
28000	0.0433518
29000	0.0444949
30000	0.0456362
32000	0.0479138
34000	0.0501851
36000	0.0524503
38000	0.0547096
40000	0.0569633
42000	0.0592117
44000	0.0614549
46000	0.0636932
48000	0.0659268
50000	0.0681559
