Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.31793
0.002	0.339126
0.005	0.380825
0.008	0.415966
0.01	0.437172
0.015	0.500068
0.02	0.6187
0.025	0.737407
0.03	0.853162
0.035	0.949008
0.04	1.02662
0.045	1.09665
0.05	1.15926
0.055	1.21478
0.06	1.26365
0.07	1.34359
0.08	1.41803
0.09	1.47626
0.1	1.52036
0.12	1.57902
0.14	1.61343
0.16	1.63474
0.18	1.64894
0.2	1.65914
0.25	1.68023
0.3	1.69964
0.35	1.7095
0.4	1.71255
0.45	1.71758
0.5	1.71676
0.6	1.70966
0.7	1.69219
0.8	1.67016
0.9	1.64273
1	1.61224
1.25	1.53108
1.5	1.45079
1.75	1.37541
2	1.30285
2.25	1.23768
2.5	1.17907
3	1.07446
3.5	0.988608
4	0.917513
4.5	0.857257
5	0.805216
5.5	0.759804
6	0.719782
6.5	0.684185
7	0.65228
7.5	0.623498
8	0.597383
8.5	0.57357
9	0.551757
9.5	0.531695
10	0.515488
11	0.481976
12	0.452677
13	0.426866
14	0.403968
15	0.383524
16	0.365165
17	0.34859
18	0.333553
19	0.31985
20	0.307313
21	0.295798
22	0.285186
23	0.275375
24	0.266277
25	0.257816
27	0.242557
29	0.229172
31	0.217334
33	0.206789
35	0.197333
38	0.184848
41	0.174034
44	0.164573
47	0.156224
50	0.148801
55	0.138098
60	0.129057
65	0.121314
70	0.114606
75	0.108737
80	0.103557
85	0.0989499
90	0.0948251
95	0.0911098
100	0.0877453
105	0.0846838
110	0.0818858
115	0.0793183
120	0.0769537
125	0.0747688
130	0.0727436
135	0.0708612
140	0.0691068
145	0.0674677
150	0.0659329
155	0.0644926
160	0.0631385
165	0.0618628
170	0.060659
175	0.0595212
180	0.058444
185	0.0574227
190	0.0564531
195	0.0555313
200	0.0546539
210	0.0530201
220	0.0515298
230	0.0501651
240	0.0489107
250	0.0477538
260	0.0466837
270	0.0456909
280	0.0447674
290	0.0439064
300	0.0431018
310	0.0423483
320	0.0416413
330	0.0409766
340	0.0403507
350	0.0397604
360	0.0392027
370	0.0386752
380	0.0381754
390	0.0377014
400	0.0372512
410	0.0368233
420	0.0364159
430	0.0360278
440	0.0356577
450	0.0353044
460	0.0349668
470	0.034644
480	0.0343351
490	0.0340392
500	0.0337556
520	0.0332225
540	0.0327308
560	0.0322761
580	0.0318548
600	0.0314637
620	0.0310997
640	0.0307606
660	0.0304441
680	0.0301482
700	0.0298712
720	0.0296116
740	0.029368
760	0.0291392
780	0.0289241
800	0.0287216
820	0.0285309
840	0.0283512
860	0.0281816
880	0.0280216
900	0.0278705
920	0.0277277
940	0.0275928
960	0.0274651
980	0.0273444
1000	0.0272302
1020	0.027122
1040	0.0270197
1060	0.0269228
1080	0.0268311
1100	0.0267442
1120	0.026662
1140	0.0265842
1160	0.0265105
1180	0.0264408
1200	0.0263749
1220	0.0263125
1240	0.0262535
1260	0.0261978
1280	0.0261452
1300	0.0260956
1320	0.0260488
1340	0.0260047
1360	0.0259632
1380	0.0259241
1400	0.0258875
1420	0.0258531
1440	0.0258208
1460	0.0257907
1480	0.0257626
1500	0.0257364
1520	0.0257121
1540	0.0256895
1560	0.0256687
1580	0.0256495
1600	0.0256319
1620	0.0256159
1640	0.0256013
1660	0.0255881
1680	0.0255763
1700	0.0255658
1750	0.0255452
1800	0.0255318
1850	0.0255253
1900	0.0255249
1950	0.0255303
2000	0.025541
2100	0.0255769
2200	0.0256298
2300	0.0256975
2400	0.0257782
2500	0.0258704
2600	0.0259726
2700	0.0260837
2800	0.0262029
2900	0.0263292
3000	0.0264619
3200	0.0267441
3400	0.0270453
3600	0.0273623
3800	0.0276924
4000	0.0280335
4200	0.0283841
4400	0.0287428
4600	0.0291084
4800	0.0294799
5000	0.0298567
5250	0.030334
5500	0.0308172
6000	0.0317984
6500	0.0327947
7000	0.0338023
7500	0.0348184
8000	0.0358409
8500	0.0368682
9000	0.0378993
9500	0.0389331
10000	0.039969
11000	0.0420446
12000	0.0441231
13000	0.0462021
14000	0.0482803
15000	0.0503568
16000	0.0524309
17000	0.0545023
18000	0.0565705
19000	0.0586356
20000	0.0606973
21000	0.0627556
22000	0.0648105
23000	0.066862
24000	0.0689102
25000	0.070955
26000	0.0729965
27000	0.0750348
28000	0.0770699
29000	0.079102
30000	0.081131
32000	0.0851802
34000	0.089218
36000	0.0932449
38000	0.0972615
40000	0.101268
42000	0.105265
44000	0.109253
46000	0.113232
48000	0.117203
50000	0.121166
