Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.020491
0.002	0.0267734
0.005	0.0388073
0.008	0.0473182
0.01	0.0520701
0.015	0.0672676
0.02	0.0804628
0.025	0.0918807
0.03	0.101653
0.035	0.109888
0.04	0.116693
0.045	0.122195
0.05	0.126516
0.055	0.129786
0.06	0.132137
0.07	0.134577
0.08	0.134745
0.09	0.133378
0.1	0.131036
0.12	0.124911
0.14	0.118282
0.16	0.111947
0.18	0.106177
0.2	0.101015
0.25	0.0904304
0.3	0.0823259
0.35	0.0758959
0.4	0.0706307
0.45	0.0662106
0.5	0.0624276
0.6	0.0562486
0.7	0.0513767
0.8	0.0474116
0.9	0.0441075
1	0.0413031
1.25	0.0358247
1.5	0.0317976
1.75	0.0286934
2	0.0262163
2.25	0.0241869
2.5	0.0224895
3	0.0198004
3.5	0.0177559
4	0.0161419
4.5	0.0148309
5	0.0137421
5.5	0.0128214
6	0.0120313
6.5	0.0113448
7	0.0107421
7.5	0.0102082
8	0.00973136
8.5	0.00930268
9	0.0089149
9.5	0.00856221
10	0.00827698
11	0.00770136
12	0.00720554
13	0.00677394
14	0.00639479
15	0.00605899
16	0.00575946
17	0.00549055
18	0.00524775
19	0.0050274
20	0.00482648
21	0.0046425
22	0.00447338
23	0.00431736
24	0.00417296
25	0.00403891
27	0.00379765
29	0.00358651
31	0.00340012
33	0.0032343
35	0.00308579
38	0.00288992
41	0.00272042
44	0.00257225
47	0.00244156
50	0.00232541
55	0.00215802
60	0.00201665
65	0.00189562
70	0.00179078
75	0.00169905
80	0.0016181
85	0.0015461
90	0.00148165
95	0.00142359
100	0.00137102
105	0.00132318
110	0.00127946
115	0.00123935
120	0.0012024
125	0.00116826
130	0.00113662
135	0.0011072
140	0.00107979
145	0.00105418
150	0.0010302
155	0.0010077
160	0.000986536
165	0.000966604
170	0.000947795
175	0.000930016
180	0.000913185
185	0.000897227
190	0.000882077
195	0.000867675
200	0.000853966
210	0.000828437
220	0.000805152
230	0.000783828
240	0.000764228
250	0.000746152
260	0.000729431
270	0.000713919
280	0.00069949
290	0.000686037
300	0.000673465
310	0.000661691
320	0.000650644
330	0.000640259
340	0.000630479
350	0.000621255
360	0.000612541
370	0.000604298
380	0.00059649
390	0.000589083
400	0.00058205
410	0.000575363
420	0.000568998
430	0.000562934
440	0.000557151
450	0.00055163
460	0.000546356
470	0.000541312
480	0.000536485
490	0.000531861
500	0.00052743
520	0.0005191
540	0.000511417
560	0.000504314
580	0.000497731
600	0.000491619
620	0.000485933
640	0.000480634
660	0.000475688
680	0.000471064
700	0.000466737
720	0.00046268
740	0.000458875
760	0.0004553
780	0.000451938
800	0.000448775
820	0.000445795
840	0.000442987
860	0.000440338
880	0.000437837
900	0.000435476
920	0.000433245
940	0.000431136
960	0.000429142
980	0.000427256
1000	0.000425471
1020	0.000423782
1040	0.000422183
1060	0.000420669
1080	0.000419235
1100	0.000417878
1120	0.000416594
1140	0.000415378
1160	0.000414227
1180	0.000413137
1200	0.000412107
1220	0.000411132
1240	0.000410211
1260	0.000409341
1280	0.000408519
1300	0.000407743
1320	0.000407012
1340	0.000406323
1360	0.000405674
1380	0.000405064
1400	0.000404491
1420	0.000403954
1440	0.00040345
1460	0.00040298
1480	0.00040254
1500	0.000402131
1520	0.000401751
1540	0.000401399
1560	0.000401073
1580	0.000400773
1600	0.000400498
1620	0.000400247
1640	0.00040002
1660	0.000399814
1680	0.00039963
1700	0.000399466
1750	0.000399143
1800	0.000398935
1850	0.000398832
1900	0.000398827
1950	0.000398911
2000	0.000399078
2100	0.000399638
2200	0.000400465
2300	0.000401523
2400	0.000402785
2500	0.000404224
2600	0.000405821
2700	0.000407558
2800	0.00040942
2900	0.000411393
3000	0.000413467
3200	0.000417876
3400	0.000422583
3600	0.000427535
3800	0.000432693
4000	0.000438024
4200	0.000443502
4400	0.000449106
4600	0.000454818
4800	0.000460624
5000	0.000466511
5250	0.000473968
5500	0.000481519
6000	0.000496849
6500	0.000512417
7000	0.000528161
7500	0.000544037
8000	0.000560014
8500	0.000576066
9000	0.000592176
9500	0.00060833
10000	0.000624515
11000	0.000656947
12000	0.000689423
13000	0.000721908
14000	0.00075438
15000	0.000786825
16000	0.000819233
17000	0.000851598
18000	0.000883915
19000	0.000916181
20000	0.000948395
21000	0.000980556
22000	0.00101266
23000	0.00104472
24000	0.00107672
25000	0.00110867
26000	0.00114057
27000	0.00117242
28000	0.00120422
29000	0.00123597
30000	0.00126767
32000	0.00133094
34000	0.00139403
36000	0.00145695
38000	0.00151971
40000	0.00158231
42000	0.00164477
44000	0.00170708
46000	0.00176926
48000	0.0018313
50000	0.00189322
