Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)								
0.001	0.0385903								
0.002	0.0533454								
0.005	0.0896322								
0.008	0.118346								
0.01	0.134771								
0.015	0.169832								
0.02	0.199478								
0.025	0.225826								
0.03	0.246391								
0.035	0.264154								
0.04	0.279558								
0.045	0.292925								
0.05	0.304505								
0.055	0.3145								
0.06	0.323084								
0.07	0.336593								
0.08	0.346044								
0.09	0.352263								
0.1	0.355931								
0.12	0.357747								
0.14	0.354805								
0.16	0.349209								
0.18	0.34224								
0.2	0.334656								
0.25	0.315393								
0.3	0.297388								
0.35	0.281116								
0.4	0.266485								
0.45	0.253308								
0.5	0.241405								
0.6	0.220816								
0.7	0.203701								
0.8	0.189296								
0.9	0.177022								
1	0.166439								
1.25	0.145383								
1.5	0.1296								
1.75	0.117251								
2	0.10728								
2.25	0.0990326								
2.5	0.0920838								
3	0.0809939								
3.5	0.0725143								
4	0.0658055								
4.5	0.0603557								
5	0.0558341								
5.5	0.0520168								
6	0.048747								
6.5	0.0459114								
7	0.0434263								
7.5	0.0412283								
8	0.0392687								
8.5	0.0375093								
9	0.0359198								
9.5	0.0344758								
10	0.0331573								
11	0.0307811								
12	0.0287484								
13	0.0269873								
14	0.0254448								
15	0.0240803								
16	0.0228637								
17	0.0217716								
18	0.020785								
19	0.0198887								
20	0.0190697								
21	0.0183185								
22	0.0176274								
23	0.0169895								
24	0.0163982								
25	0.0158483								
27	0.0148573								
29	0.0139866								
31	0.013244								
33	0.0126105								
35	0.012041								
38	0.0112902								
41	0.0106389								
44	0.0100677								
47	0.00956472								
50	0.00911632								
55	0.00846946								
60	0.00792081								
65	0.00745083								
70	0.00704292								
75	0.00668472								
80	0.00636921								
85	0.0060873								
90	0.0058346								
95	0.00560747								
100	0.00540081								
105	0.00521258								
110	0.0050403								
115	0.00488262								
120	0.00473722								
125	0.0046023								
130	0.00447729								
135	0.00436147								
140	0.00425325								
145	0.00415182								
150	0.00405688								
155	0.00396769								
160	0.00388395								
165	0.00380531								
170	0.00373089								
175	0.00366033								
180	0.00359357								
185	0.00353025								
190	0.00347011								
195	0.00341309								
200	0.00335896								
210	0.00325774								
220	0.00316532								
230	0.00308065								
240	0.00300318								
250	0.00293164								
260	0.00286529								
270	0.00280378								
280	0.0027466								
290	0.00269357								
300	0.00264393								
310	0.0025973								
320	0.00255362								
330	0.00251254								
340	0.00247395								
350	0.00243774								
360	0.00240348								
370	0.00237096								
380	0.00234019								
390	0.00231103								
400	0.00228334								
410	0.00225707								
420	0.0022322								
430	0.00220853								
440	0.00218588								
450	0.00216422								
460	0.00214355								
470	0.00212381								
480	0.00210492								
490	0.00208683								
500	0.00206954								
520	0.00203722								
540	0.00200737								
560	0.0019797								
580	0.00195411								
600	0.00193036								
620	0.00190831								
640	0.0018879								
660	0.00186885								
680	0.00185096								
700	0.00183419								
720	0.00181851								
740	0.00180379								
760	0.00178995								
780	0.00177695								
800	0.00176477								
820	0.00175338								
840	0.00174288								
860	0.00173293								
880	0.0017235								
900	0.00171458								
920	0.00170615								
940	0.00169817								
960	0.00169061								
980	0.00168345								
1000	0.00167666								
1020	0.0016702								
1040	0.00166407								
1060	0.00165824								
1080	0.0016527								
1100	0.00164746								
1120	0.00164248								
1140	0.00163776								
1160	0.00163328								
1180	0.00162901								
1200	0.00162494								
1220	0.00162105								
1240	0.00161733								
1260	0.00161378								
1280	0.00161039								
1300	0.00160716								
1320	0.00160408								
1340	0.00160115								
1360	0.00159836								
1380	0.0015957								
1400	0.00159316								
1420	0.00159074								
1440	0.00158843								
1460	0.00158623								
1480	0.00158413								
1500	0.00158212								
1520	0.00158022								
1540	0.0015784								
1560	0.00157667								
1580	0.00157503								
1600	0.00157348								
1620	0.001572								
1640	0.0015706								
1660	0.00156926								
1680	0.001568								
1700	0.0015668								
1750	0.00156406								
1800	0.00156166								
1850	0.00155955								
1900	0.00155771								
1950	0.00155613								
2000	0.00155478								
2100	0.0015527								
2200	0.00155136								
2300	0.00155062								
2400	0.00155038								
2500	0.00155056								
2600	0.0015511								
2700	0.00155195								
2800	0.00155307								
2900	0.00155441								
3000	0.00155594								
3200	0.00155947								
3400	0.00156346								
3600	0.00156777								
3800	0.00157231								
4000	0.00157698								
4200	0.00158176								
4400	0.00158658								
4600	0.00159143								
4800	0.00159628								
5000	0.0016011								
5250	0.00160708								
5500	0.00161299								
6000	0.00162451								
6500	0.0016356								
7000	0.00164624								
7500	0.00165642								
8000	0.00166616								
8500	0.00167545								
9000	0.00168429								
9500	0.00169276								
10000	0.00170091								
11000	0.00171626								
12000	0.00173043								
13000	0.00174355								
14000	0.00175574								
15000	0.00176711								
16000	0.00177777								
17000	0.0017878								
18000	0.00179727								
19000	0.00180623								
20000	0.00181474								
21000	0.00182282								
22000	0.00183052								
23000	0.00183779								
24000	0.00184473								
25000	0.00185147								
26000	0.00185792								
27000	0.00186406								
28000	0.00186994								
29000	0.00187562								
30000	0.00188111								
32000	0.00189153								
34000	0.00190124								
36000	0.00191036								
38000	0.00191896								
40000	0.00192708								
42000	0.00193477								
44000	0.00194206								
46000	0.00194899								
48000	0.00195559								
50000	0.00196188								
